Nome;Citações;H-index;i10-index;N_Publicacoes;Status
Alexandra Águeda Figueiredo IPT Portugal;;;;;Não encontrado
Ana Cláudia Pires da Silva Pinto IPT Portugal;;;;;Não encontrado
Ana Cristina Barata Pires Lopes IPT Portugal;;;;;Não encontrado
Ana Cristina Nata dos Santos IPT Portugal;;;;;Não encontrado
Ana Isabel Loureiro de Sousa Virgolino Silva IPT Portugal;;;;;Não encontrado
Ana Paula Gerardo Machado IPT Portugal;;;;;Não encontrado
Ana Rita Sousa Gaspar Vieira IPT Portugal;;;;;Não encontrado
Anabela Mendes Moreira IPT Portugal;;;;;Não encontrado
António Casimiro Teixeira Batista IPT Portugal;;;;;Não encontrado
António João Carvalho Cruz IPT Portugal;;;;;Não encontrado
António Manuel Manso IPT Portugal;;;;;Não encontrado
Arlindo José Bernardo Dinis IPT Portugal;;;;;Não encontrado
Bruno Miguel Santana Chaparro IPT Portugal;;;;;Não encontrado
Carla Alexandra Carvalho Silva IPT Portugal;;;;;Não encontrado
Carla Maria Calado Rego IPT Portugal;;;;;Não encontrado
Carla Maria Freitas dos Santos Joaquim IPT Portugal;;;;;Não encontrado
Carla Sofia da Silva Mota IPT Portugal;;;;;Não encontrado
Carlos Alberto Farinha Ferreira IPT Portugal;;;;;Não encontrado
Carlos Alexandre Campos Coelho IPT Portugal;;;;;Não encontrado
Carlos David Magalhães Queiroz IPT Portugal;;;;;Não encontrado
Carlos Jorge Trindade Rente IPT Portugal;;;;;Não encontrado
Carlos Perquilhas Baptista IPT Portugal;;;;;Não encontrado
Cecília de Melo Correia Baptista IPT Portugal;;;;;Não encontrado
Célio Gonçalo Cardoso Marques IPT Portugal;;;;;Não encontrado
Cristina Margarida Rodrigues Costa IPT Portugal;;;;;Não encontrado
Cristina Maria Mendes Andrade IPT Portugal;;;;;Não encontrado
Daniel Ferreira de Oliveira IPT Portugal;;;;;Não encontrado
Dina Maria Ribeiro Mateus IPT Portugal;;;;;Não encontrado
Duarte Pinto Coelho Amaral Netto IPT Portugal;;;;;Não encontrado
Eugénio Manuel Carvalho Pina de Almeida IPT Portugal;;;;;Não encontrado
Eunice Ferreira Ramos Lopes IPT Portugal;;;;;Não encontrado
Fernando Augusto Desterro Oudinot Larcher Nunes IPT Portugal;;;;;Não encontrado
Fernando dos Santos Antunes IPT Portugal;;;;;Não encontrado
Fernando Manuel da Conceição Costa IPT Portugal;;;;;Não encontrado
Fernando Manuel Lino Gonçalves Antunes IPT Portugal;;;;;Não encontrado
Fernando Sérgio Hortas Rodrigues IPT Portugal;;;;;Não encontrado
Flávio Rodrigues Fernandes Chaves IPT Portugal;;;;;Não encontrado
Francisco José Alexandre Nunes IPT Portugal;;;;;Não encontrado
Francisco Paulo Vilhena Antunes Bernardino Carvalho IPT Portugal;;;;;Não encontrado
Gabriel Pereira Pires IPT Portugal;;;;;Não encontrado
Gonçalo Cardos Leite Velho IPT Portugal;;;;;Não encontrado
Hália Filipa da Costa Santos IPT Portugal;;;;;Não encontrado
